;university_name;Назва
3207;"КОМУНАЛЬНИЙ ЗАКЛАД ""БЕРЕЗНЯНСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІ СТУПЕНІВ - ДИТЯЧИЙ САДОК"" ВОЛОДАРСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ";БЕРЕЗНЯНСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС 
9353;"Комунальний заклад""Гайворонський навчально-виховний комплекс ""Загальноосвітня школа І-ІІ ступенів - дитячий садок""";Гайворонський навчально-виховний комплекс 
9354;"Комунальний заклад ""Завадівський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дитячий садок"" Володарської районної ради Київської області";Завадівський навчально-виховний комплекс 
3208;"КОМУНАЛЬНИЙ ЗАКЛАД ""КОСІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІ СТУПЕНІВ -ДИТЯЧИЙ САДОК"" ВОЛОДАРСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ";КОСІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС 
3209;"КОМУНАЛЬНИЙ ЗАКЛАД ""МАРМУЛІЇВСЬКИЙ НАВЧАЛЬНО- ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І - ІІ СТУПЕНІВ - ДИТЯЧИЙ САДОК"" ВОЛОДАРСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ";МАРМУЛІЇВСЬКИЙ НАВЧАЛЬНО- ВИХОВНИЙ КОМПЛЕКС 
3205;"КОМУНАЛЬНИЙ ЗАКЛАД""ПАРХОМІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА I-III СТУПЕНІВ- ДИТЯЧИЙ САДОК"" ВОЛОДАРСЬКОЇ РАЙОННОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ";ПАРХОМІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС 
3210;"Комунальний заклад ""Рогізнянський навчально-виховний комплекс ""Загальноосвітня школа І-ІІ ступенів - дитячий садок"" Володарської районної ради Київської області";Рогізнянський навчально-виховний комплекс 
3212;"КОМУНАЛЬНИЙ ЗАКЛАД ""РУБЧЕНКІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС ""ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІ СТУПЕНІВ- ДИТЯЧИЙ САДОК"" Володарської районної ради Київської області";РУБЧЕНКІВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС 
3213;"Комунальний заклад ""Тадіївський навчально-виховний комплекс ""загальноосвітня школа І-ІІ ступенів - дитячий садок"" Володарської районної ради Київської області";Тадіївський навчально-виховний комплекс 
3071;"Богуславський комунальний дошкільний навчальний заклад (Центр розвитку дитини) №1 ""Малятко""";Малятко
3073;"Богуславський дошкільний навчальний заклад №5 ""Сонечко"" Богуславської міської ради Богуславського району Київської області";Сонечко
3074;"Богуславський комунальний дошкільний навчальний заклад № 6 "" Дзвіночок"""; Дзвіночок
3154;"Васильківський дошкільний навчальний заклад № 1 ""Журавлик""";Журавлик
3157;"Васильківський дошкільний навчальний заклад № 4 ""Сонечко""";Сонечко
3156;"Васильківський дошкільний навчальний заклад № 3 ""Джерельце""";Джерельце
3155;"Васильківський дошкільний навчальний заклад № 2 ""Барвінок""";Барвінок
3161;"Васильківський дошкільний навчальний заклад № 8 ""Пролісок""";Пролісок
3160;"Васильківський дошкільний навчальний заклад № 7 ""Іскорка""";Іскорка
3162;"Васильківський дошкільний навчальний заклад № 9 ""Тополька""";Тополька
3164;"Васильківський дошкільний навчальний заклад № 12 ""Дюймовочка""";Дюймовочка
3459;"Фастівський дошкільний навчальний заклад № 7 ""Журавлик"" Упрвління освіти виконавчого комітету Фастівської міської ради";Журавлик
3461;"Дошкільний навчальний заклад № 9 ""Берізка""";Берізка
3456;"Дошкільний навчальний заклад №4 ""Зірочка"" Фастівської міської ради Київської області";Зірочка
3453;"Фастівський дошкільний навчальний заклад №1 ""Теремок"" Фастівської міської ради Київської області";Теремок
3455;"Управління освіти виконавчого комітету Фастівської міської ради Київської області дошкільний навчальний заклад №3 ""Унава""";Унава
3141;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу ""Ромашка"" Броварської міської ради Київської області";Ромашка
3458;"Дошкільний навчальний заклад №6 ""Казка"" управління освіти виконавчого комітету Фастівської міської ради";Казка
3050;"Дошкільний навчальний заклад (ясла-садок) ""Ведмежатко"" Узинської міської ради Білоцерківського району Київської області";Ведмежатко
3045;"Комунальна установа Заклад дошкільної освіти (ясла-садок) ""Ялинка"" села Трушки Фурсівської сілької ради";Ялинка
3049;"Заклад дошкільної освіти ясла-садок ""Зіронька"" Узинської міської ради Київської області";Зіронька
3437;"Денихівський дошкільний навчальний заклад ясла - садок ""Віночок"" Денихівської сільської ради Тетіївського району Київської області";Віночок
3444;"Дошкільний навчальний заклад (ясла-садок)""Горобинонька"" Пятигірської сільської ради Тетіївського району Київської області";Горобинонька
3178;"Заклад дошкільної освіти (ясла-садок) ""Весняночка"" Калинівської селищної ради";Весняночка
3179;"ДНЗ (ясла-садок) ""Вербиченька"" Кодаківської сільської ради";Вербиченька
3175;"Дошкільний навчальний заклад (ясла-садок) ""Казочка"" Гребінківської селищної ради Васильківського району Київської області";Казочка
3174;"Заклад дошкільної освіти (ясла-садок) ""Золоті зернята"" Глевахівської селищної ради";Золоті зернята
3457;"Дошкільний навчальний заклад №5 ""Сонечко"" виконавчого комітету Фастівської міської ради Київської області";Сонечко
10477;"Навчально-виховний комплекс ""Ковалівська гімназія"" Васильківського району Київської області";Ковалівська гімназія
3060;"Опорний навчальний заклад Іванівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-дитячий садок"" Богуславської районної ради Київської області";Загальноосвітня школа І-ІІІ ступенів-дитячий садок
